序号,单词,注音,释义
1,a ,"ei,ə", art.一(个) 每一(个)
2,abandon ,ə'bændən, vt. 丢弃 放弃 抛弃 n. 放纵
3,ability ,ə'biliti, n. 能力 能耐 本领
4,able ,'eibl, adj. 能干的 有能力的 出色的
5,abnormal ,æb'nɔ:məl, adj. 反常的 不正常的 不规则的 变态的 n. 不正常的人
6,aboard ,ə'bɔ:d, adv. 在船(车)上 在火车上 在飞机上 prep. 上船 上飞机 上车
7,about ,'əbaut, prep. 关于 在...周围 adj. 准备 adv. 大约
8,above ,ə'bʌv, prep. 在...上面 超过 高于 adj. 上面的 adv. 在上面 超过 n. 上面的东西
9,abroad ,ə'brɔ:d, adv. (在)国外 海外(一般作表语) 到处 到国外 广为流传
10,absence ,'æbsəns, n. 缺席 不在场 缺乏
11,absent ,'æbsənt, adj. 缺席的 不在场的 缺乏的 vt. 使缺席 prep. 没有
12,absolute ,'æbsəlu:t, adj. 绝对的 纯粹的 完全的 无限制的 独立的 专制的 n. 绝对的事物
13,absolutely ,'æbsəlu:tli, adv. 独立地 完全地 绝对地
14,absorb ,əb'sɔ:b, vt. 吸收 吸纳 吸引...的注意 吞并 使专心
15,abstract ,'æbstrækt, adj. 抽象的 理论的 n. 摘要 抽象的东西 vt. 移除 摘要 偷 vi. 做摘要
16,abundant ,ə'bʌndənt, adj.丰富的 充裕的 大量的
17,abuse ,ə'bju:z, vt. 滥用 辱骂 虐待 n. 滥用 恶习
18,academic ,.ækə'demik, adj. 学院的 理论的 学术性的 n. 教学人员 学术人员
19,academy ,ə'kædəmi, n. 私立中学 专科院校 学院 学术 学会
20,accelerate ,æk'seləreit, vt. (使)加快 促进 加速 提前 跳级 vi. 加速
21,acceleration ,æk.selə'reiʃən, n. 加速 促进 加速度
22,accent ,'æksənt, n. 口音 腔调 重音 强调 vt. 重读 强调
23,accept ,ək'sept, vt. 接受 同意 承担(责任等) vi. 接受
24,acceptable ,ək'septəbl, adj. 可接受的 合意的 受欢迎的
25,acceptance ,ək'septəns, n. 接受（礼物、邀请、建议等） 同意 认可 验收 承认
26,access ,'ækses, n. 进入 接近(的机会) 使用之权 通道 入口 vt. (电脑)存取 进入
27,accessory ,æk'sesəri, n. 同谋 从犯 附件 adj. 附属的(副的、辅助的)
28,accident ,'æksidənt, n. 意外的 事故
29,accidental ,.æksi'dentl, a. 意外的 偶然的 附属的 非本质的 n. 偶然 不重要的东西 <音>变调的临时符号
30,accommodate ,ə'kɔmədeit, vt. 容纳 供应 供给 提供方便 使一致 和解 顾及 vi. 使自己适应
31,accommodation ,ə.kɔmə'deiʃən, n. 招待设备 预定铺位 住处 膳宿 适应 和解
32,accompany ,ə'kʌmpəni, vt. 陪伴 陪同 伴随 给...伴奏 vi. 伴奏
33,accomplish ,ə'kɔmpliʃ, vt. 达到(目的) 完成
34,accord ,ə'kɔ:d, vt. 使一致 调解 赠予 给予 n. 一致 调和 协议 自愿 vi. (与)一致
35,accordance ,ə'kɔ:dəns, n. 一致 和谐 授予 符合 同意
36,accordingly ,ə'kɔ:diŋli, adv. 因此 所以 于是 相应地 照着
37,account ,ə'kaunt, n. 记述 解释 根据 理由 帐目 报告 估计 利益 好处 vi. 报账 解释 导致 vt. 把...视为 归咎(于)
38,accumulate ,ə'kju:mjuleit, vt. 积累 累加 堆积 vi. 堆积 累积
39,accuracy ,'ækjurəsi, n. 准确(性) 准确度
40,accurate ,'ækjurit, adj. 准确的 正确无误的
41,accuse ,ə'kju:z, vt. 指责 责备 控告 归咎于
42,accustom ,ə'kʌstəm, vt. 使...习惯
43,accustomed ,ə'kʌstəmd, adj. 惯常的 习惯的
44,ache ,eik, vi. 痛 想念 渴望 n. 疼痛
45,achieve ,ə'tʃi:v, vt. 完成 实现 达到 vi. 达到目的
46,achievement ,ə'tʃi:vmənt, n. 完成 成就 成绩 达到
47,acid ,'æsid, n. 酸 酸味物质 adj .酸的 酸性的
48,acquaintance ,ə'kweintəns, n. 认识 了解 熟人
49,acquire ,ə'kwaiə, vt. 占有 取得 获得 学到
50,acre ,'eikə, n. 英亩(=6.07亩)
51,across ,ə'krɔs, prep. 横过 穿过 在...对面 adv. 横过 使...被理解(或接受)
52,act ,ækt, vi. 行动 表演 表现 充当 见效 vt. 表演 扮演 n. 行为 行动 法案 （戏剧、歌剧等的）一幕
53,action ,'ækʃən, n. 起诉 行动 作用 功能 情节 活动
54,active ,'æktiv, adj. 活跃的 积极的 主动的
55,activity ,æk'tiviti, n. 活动 活跃 活力 行动 vt. 表演 adj. 厉害
56,actor ,'æktə, n. 男演员 演剧的人
57,actress ,'æktris, n. 女演员
58,actual ,'æktjuəl, adj. 实际的 真实的 现行的
59,actually ,'æktʃuəli, adv. 实际上 事实上 居然 竟然（表示惊讶）
60,acute ,ə'kju:t, adj. 尖的 锐的 敏锐的 敏锐的 激烈的
61,ad ,æd, n. (缩)广告 abbr. ( advertisement [əd'və:tismənt] 的缩写 ) 广告
62,adapt ,ə'dæpt, vt. 使适应 改编 vi. 适应 适合
63,add ,æd, vt. 添加 附加 掺加 增加
64,addition ,ə'diʃən, n. 加 加法 附加物 增加
65,additional ,ə'diʃənl, adj. 附加的 追加的 另外的
66,address ,ə'dres, n. 地址 住址 致词 讲话 演说 谈吐 (处理问题的)技巧 vt. 发表演说 写地址 称呼 对付 ( 图书、文章等)讨论(某主题)
67,adequate ,'ædikwit, adj. 足够的 充足的 适当的 可以胜任的
68,adjective ,'ædʒiktiv, n.形容词 adj. 形容词的 不独立的
69,adjust ,ə'dʒʌst, vt. 调整 调节 校正 使...适于 vi. 适应
70,administration ,ədminis'treiʃən, n. 管理 行政 管理部门
71,admire ,əd'maiə, vt. 钦佩 羡慕 赞赏
72,admission ,əd'miʃən, n. 允许进入 承认 许可 入会费
73,admit ,əd'mit, vt. 承认 准许...进入 vi. 允许进入 允许 承认
74,adopt ,ə'dɔpt, vt. 收养 采用 采取 接受
